text,emoji
"Vacation wasted ! #vacation2017 #photobomb #tired #vacationwasted #mcgar30 #miami @ Port of…
",13
"Oh Wynwood, you’re so funny! : @user #Wynwood #Art #ItWas3AM #Flowers #Vibes @ Wynwood…
",2
"Been friends since 7th grade. Look at us now we all following our dreams doing what we love and…
",0
"This is what it looks like when someone loves you unconditionally oh Puppy Brother. #htx…
",1
"RT @user this white family was invited to a Black barbecue and i've never laughed so hard in my life
",1
"TRACK SEASON 2016, I'M READY FOR YA @ University of the Incarnate Word
",10
"Merry Christmas you filthy little animals. Wearing a @user ugly sweater featuring Santa…
",8
"Westenders @user #LAZzNation @ Weston, Toronto
",2
"Story On Saturday 136 Collins Ave, Miami Beach, FL 33139 Ladies Contact Me To Join Me In my…
",3
"Dragged my loving husband to a live episode of #hellofromthemagictavern ️ @ Javits Center
",0
"Can't wait to meet you @user #wscatlanta #wscatlanta2017 #znation #addy @ Georgia…
",12
"Happy 4th ya'll! @ Sausalito, California
",7
"Two #socialbutterflies hanging @ the #beautyschool this ️ #Halloween day! Follow our journey…
",9
"H O M E I made it.18,546 km (11,524 mi)2 flights...25 hours flying time...5 meals...and 7…
",4
"#AladdinSF was shining, shimmering, and splendid! Such a talented cast @ SHN: Broadway in San…
",0
"California Days. ️.....#sandiego #california #visitcalifornia #nofilter #pachamama…
",9
"️Family ️ @ Wet'n'Wild Las Vegas
",0
"These have been SUCH A HIT ! READY TO RIDE Harley Davidson (TONS of cities from Hawaii to…
",3
"happiest in the sunshine and by the water @ Seneca Lake
",4
"You should have known (I was gonna show my glitter titts ) Amazing premiere for @user
",4
"LINK IN MY BIO #boombap #90s #webster #mcgels #naturaldoc #southbronx #realhiphop #rawshit…
",3
"something out of the ordinary @ Daly City, California
",4
"And I'm quick, cut a nigga off, so don't get comfortable... #bodakyellow #cardib…
",3
"First day of the year was #2k17 #ashland #oregon #snowboarding @ Mt. Ashland Ski Area
",3
"See you all tomorrow, Monday, when our showrooms re-open for business after this #Thanksgiving…
",7
"Life is beautiful, but this lighting is more beautiful #lolz @user
",10
"Another day, another shoe picture I love all the little details inside Disneyland! Always make…
",13
"Who said I was an Angel? When you look at me, what do you see? @ Orlando, Florida
",4
"missing this so much @ Bo Rein Stadium
",0
"Ry Lounge is def the move tomorrow rylounge #pullup #lucid #rylounge @ Ry Restaurant and…
",3
"This guy cracks me up. @ Mississippi
",1
"It's SO beautiful and SO hot! I've been crying for summer and here it is, 96 degrees at 630pm. …
",5
"they spelled my last name wrong but UO LET'S GOOO!!!! #vibejrs @user
",3
"Today's hike was on the Yuba River! I'm so grateful for the past 4 days spent with…
",6
"confession.... i took this gig so i could come down here and eat... #KCDanceFest2017 @ Gates…
",13
"Photo so dope s/o to the best photographer in the world @user #MountUp @ University of…
",5
"Not the first time I've gotten in the way. Sorry garrott #rothko @ The Phillips Collection
",2
"You're welcome ladies! TIM!! #soul2soultour2017 #timmcgraw @user
",13
"Playing at the #hirshhornmuseum today with @user and the_dopest_chicagoan @ Hirshhorn…
",12
"#thanksgiving #leftovers make people happy #smiley #happyface @ Carroll Gardens, Brooklyn
",6
"we can't vote but hey at least we have pride ((for now…
",7
"Strummer and the Great Dane puppy @ ParkGrounds
",0
"Sun so blinding #lovebug #bug @ South Boston, M.A.
",1
"When getting advice, get the advice from the best in the biz #waltdisneystudios #waltdisney…
",5
"We are totally in with our cool new #FearlessSquad t-shirts from @user Thank you so…
",0
"#bridal show season!! Come see us October 29th at the Embassy Suites #gettingmarried…
",0
"#trail #morninghike #Running @ Top of Franklin Trail
",6
"Sunday funday at TK’s thorstenkiefer @ New York by Gehry
",2
"The first three ornaments on our Christmas tree this year.…
",8
"There are perks when you're this far out #west in #Katy #Texas. The #beautiful #sunset. # #sky…
",9
"Just wanted to annoy Tricia (@ In-N-Out Burger in Austin, TX)
",13
"Terrible quality but happy birthday, Anna I hope you've had a…
",0
"When you realize that you and your ""workout buddy"" are dressed like the foot ninjas from TMNT …
",1
"A special #tbt for y'all! How are you guys doing today? #popbands #indie #rappers…
",6
"My heart &amp; soul Furniture shopping &amp; brews this evening. @ The…
",4
"Sympsons town in Universal Studio Hollywood @ Universal Studios Hollywood
",7
"my first experience of NYC was the best @ New York, New York
",0
"Ayo #Indystry BEST OF THE BEAN VOLUME 1 HOSTED BY @user the Indymix is out…
",3
"Red Carpet .| #MakeupByKAI #SDBFF #BeautifulDestroyer #Actress #RedCarpet @user
",2
"My beautiful princess #ChloeChanel #MyCrazyBaby #iLoveHer…
",0
"Turistando .#museum #NY #historymuseum em American Museum of Natural…
",12
"I ️LA #TANTRICTOUR2017 @user @user @ LAX - Los Angeles International Airport
",0
"T.R U.T.H. AND IN THAT ORDER.. #TEAHPHILANI #IAMWHOIAM #HIPHOPSICK #ECLECTICDOPE #CHIC…
",11
"These girls did great. They deserve a night out! @ PICKS Bar
",0
"4th of July Weekend Parties! Saturday Pool Party at Nautilus Hotel in South Beach!…
",7
"Always Te amo, @user @ Los Angeles, California
",0
"I thought this was really pretty. : censtudio @ Koreatown, Los Angeles
",2
"Finally got to #vote this morning! Make sure you do too! #ivoted #earlyvoting #election2016…
",12
"Presenting for the first time...Mr. and Mrs. Christopher Garcia #nikonphotography…
",2
"KREAM ALWAYS RISES to the TOP A queen must not only be a face, but…
",4
"We live and love @user Great service and atmosphere! Thank you Taylor, Rob and Joel.…
",11
"Happy 4th of July @ Eveleigh
",7
"When you're trying to look professional. Thanks team. @ Bex Brands
",13
"Last night was litty shoutout to @user for capturing my ways…
",3
"48hours in New Yoik! (@ American Airlines Admirals Club in Grapevine, TX)
",0
"|||| #3am #diner #goodvibes #people #composition @ Budd Lake Diner
",2
"She hated that @ South Coast Plaza
",1
"Rear back and aim, and Fire Away @ Toyota Amphitheatre
",3
"I ️ the fair! @ OC Fair
",0
"Galveston,TX Family Day #familytime #family1st ️ @ Galveston, Texas
",0
"[ S.W.A.G] ..#like4like #likesforlikes #likeforlike #followme @ Los Angeles, California
",1
"My two favs... of what I'm not sure.. @user @user @ City of Los Angeles
",0
"Risky Business @ Lake Arthur, Louisiana
",5
"@user and I made some magic the other day. @ Chicago, Illinois
",4
"Lloyd Banks ""Untouchable"" freestyle ...#hot #hiphop #music #jblflip4 @ Lathrup Village,…
",3
"Josh Todd and the Conflict at Wally’s Pub - NH : Micah GummelTo see more from the show go to…
",2
"So so proud of the @user #VerifiedFan team! : @user @ Live Nation/ Ticketmaster…
",2
"Congrats on your new smile!! omardavila11 @ Pure Smiles Orthodontics
",6
"Just a little Saturday glow #economyofstyle @ St. Louis
",4
"When you been wearing your shirt inside out all day #wokeUpTooEarly
",1
"The Moon &amp; The Stars #vytell #losangeles #portland #rapper #singer #artist #goodnight…
",4
"My tires are sticky. . #fridaynightdrags @ Texas Motor Speedway- Drag &amp; Brag
",12
"This is what happens when you let your voice students make up moves to vocal warm ups …
",1
